"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2023","85.35","85.35","85.35","85.35","","0.00%"
"12/13/2023","85.35","85.35","85.35","85.35","","0.00%"
"12/12/2023","85.35","85.35","85.35","85.35","","2.65%"
"12/11/2023","83.15","83.15","83.15","83.15","","0.54%"
"12/08/2023","82.70","82.70","82.70","82.70","","0.73%"
"12/07/2023","82.10","82.10","82.10","82.10","","0.00%"
"12/06/2023","82.10","82.10","82.10","82.10","","0.43%"
"12/05/2023","81.75","81.75","81.75","81.75","","0.31%"
"12/04/2023","81.50","81.50","81.50","81.50","","-0.31%"
"12/01/2023","81.75","81.75","81.75","81.75","","1.43%"
"11/30/2023","80.60","80.60","80.60","80.60","","-0.68%"
"11/29/2023","81.15","81.15","81.15","81.15","","0.12%"
"11/28/2023","81.05","81.05","81.05","81.05","","0.43%"
"11/27/2023","80.70","80.70","80.70","80.70","","-0.06%"
"11/24/2023","80.75","80.75","80.75","80.75","","0.00%"
"11/22/2023","80.75","80.75","80.75","80.75","","-0.31%"
"11/21/2023","81.00","81.00","81.00","81.00","","1.89%"
"11/20/2023","79.50","79.50","79.50","79.50","","1.92%"
"11/17/2023","78.00","78.00","78.00","78.00","","2.16%"
"11/16/2023","76.35","76.35","76.35","76.35","","2.76%"
"11/15/2023","74.30","74.30","74.30","74.30","","-0.07%"
"11/14/2023","74.35","74.35","74.35","74.35","","0.13%"
"11/13/2023","74.25","74.25","74.25","74.25","","1.23%"
"11/10/2023","73.35","73.35","73.35","73.35","","0.55%"
"11/09/2023","72.95","72.95","72.95","72.95","","-0.14%"
"11/08/2023","73.05","73.05","73.05","73.05","","-0.88%"
"11/07/2023","73.70","73.70","73.70","73.70","","-0.61%"
"11/06/2023","74.15","74.15","74.15","74.15","","-0.27%"
"11/03/2023","74.35","74.35","74.35","74.35","","-0.20%"
"11/02/2023","74.50","74.50","74.50","74.50","","-0.20%"
"11/01/2023","74.65","74.65","74.65","74.65","","0.07%"
"10/31/2023","74.60","74.60","74.60","74.60","","0.13%"
"10/30/2023","74.50","74.50","74.50","74.50","","0.13%"
"10/27/2023","74.40","74.40","74.40","74.40","","0.20%"
"10/26/2023","74.25","74.25","74.25","74.25","","0.54%"
"10/25/2023","73.85","73.85","73.85","73.85","","0.61%"
"10/24/2023","73.40","73.40","73.40","73.40","","0.82%"
"10/23/2023","72.80","72.80","72.80","72.80","","0.41%"
"10/20/2023","72.50","72.50","72.50","72.50","","1.97%"
"10/19/2023","71.10","71.10","71.10","71.10","","1.07%"
"10/18/2023","70.35","70.35","70.35","70.35","","1.15%"
"10/17/2023","69.55","69.55","69.55","69.55","","0.36%"
"10/16/2023","69.30","69.30","69.30","69.30","","-0.50%"
"10/13/2023","69.65","69.65","69.65","69.65","","0.00%"
"10/12/2023","69.65","69.65","69.65","69.65","","0.58%"
