Date,Dual Fuel,Hydro,Natural Gas,Nuclear,Other Fossil Fuels,Other Renewables,Wind,total,LMP,tempmax,tempmin,temp,coal_price,ura_price,dual_fuel,hydro,natural_gas,nuclear,other_fossil_fuels,other_renewables,wind,nextprice
2019-01-02,831211.0,1102976.0,710748.0,1568422.0,0.0,80983.0,22906.0,4317246.0,21.22937931034483,41.9,37.0,39.0,94.6,28.9,19.25326932956797,25.54813879033069,16.462995159414127,36.32922469555823,0.0,1.8758023054512067,0.5305697196777761,20.25178082191781
2019-01-03,910940.0,1114735.0,726236.0,1585253.0,0.0,79093.0,150557.0,4566814.0,20.25178082191781,45.9,38.9,42.3,92.9,28.9,19.946947697015908,24.409467957311158,15.902465044558417,34.71244942316459,0.0,1.7319076275057403,3.296762250444183,23.42948275862069
2019-01-04,880227.0,1066344.0,655130.0,1569229.0,0.0,82425.0,258298.0,4511653.0,23.42948275862069,45.0,36.0,40.7,92.55,28.85,19.510077570238668,23.635328337529504,14.520841917585416,34.78168644618724,0.0,1.8269357151358936,5.725130013323277,22.639758620689655
2019-01-05,749094.0,1083817.0,555441.0,1570219.0,0.0,81383.0,55947.0,4095901.0,22.639758620689655,46.2,43.1,44.8,92.55,28.85,18.288869774928642,26.46101553724077,13.560899054933213,38.3363513913056,0.0,1.9869376725658163,1.3659265690259603,23.695520833333333
2019-01-06,672063.0,1009167.0,498371.0,1558787.0,0.0,80737.0,236116.0,4055241.0,23.695520833333333,49.9,34.9,43.1,92.55,28.85,16.57270184435401,24.885500023303177,12.289553197948038,38.43882521408715,0.0,1.9909297622508748,5.822489958056747,27.214062499999997
2019-01-07,920664.0,1044380.0,737495.0,1557494.0,0.0,79875.0,149063.0,4488971.0,27.214062499999997,35.6,28.0,32.1,91.6,28.9,20.509466423374086,23.265465515370895,16.429043538040233,34.696013852617895,0.0,1.779361016143789,3.320649654453103,29.359349315068496
2019-01-08,909564.0,1048789.0,744422.0,1584812.0,24156.0,75366.0,287968.0,4675077.0,29.359349315068496,44.9,35.9,41.8,91.25,28.9,19.455593993425136,22.433619809898317,15.923202976122106,33.89916358596874,0.516697372043284,1.6120803999591877,6.159641862583226,28.08703448275862
2019-01-09,747035.0,1035947.0,710801.0,1564419.0,46312.0,70363.0,240505.0,4415382.0,28.08703448275862,46.0,35.9,42.3,91.5,28.95,16.91892117148641,23.462228183201365,16.098290023377366,35.431113321565384,1.048878670067505,1.593588051951111,5.446980578350865,34.76083333333334
2019-01-10,741654.0,1064000.0,720585.0,1559065.0,47189.0,68556.0,363470.0,4564519.0,34.76083333333334,36.9,29.9,34.2,91.4,28.9,16.248239956937415,23.31023268826354,15.786657915105623,34.156172862901876,1.0338219645925453,1.5019326242261233,7.962941987972884,42.304089347079035
2019-01-11,746617.0,1155055.0,901370.0,1573673.0,59672.0,77702.0,242978.0,4757067.0,42.304089347079035,35.6,23.0,28.8,91.5,28.9,15.694901921709322,24.280822616120396,18.948019861818217,33.08074071691654,1.2543863687435977,1.6334014215061508,5.10772709318578,39.35993569131833
2019-01-12,750465.0,1113992.0,972279.0,1687232.0,75392.0,83305.0,120683.0,4803348.0,39.35993569131833,35.8,21.7,29.1,91.5,28.9,15.623789906540189,23.191990253464876,20.24169391849185,35.126166165766044,1.5695718902732012,1.734311151305298,2.512476714158541,32.376379310344824
2019-01-13,700914.0,994173.0,877780.0,1573809.0,66017.0,80017.0,40503.0,4333213.0,32.376379310344824,37.7,26.9,31.3,91.5,28.9,16.17538763961061,22.94309095814122,20.25702406043737,36.31967780028353,1.5235115375126955,1.8465974324363932,0.9347105715781799,44.514290540540536
2019-01-14,886116.0,1043706.0,1118661.0,1607398.0,131492.0,77830.0,11638.0,4876841.0,44.514290540540536,37.7,25.8,30.6,91.45,28.9,18.169876770639025,21.401271847903182,22.938229891029867,32.95981968655529,2.696253578904869,1.5959101393709576,0.23863808559680336,48.34421232876712
2019-01-15,838180.0,997716.0,1002355.0,1586658.0,173069.0,81825.0,78104.0,4757907.0,48.34421232876712,38.7,28.0,33.0,91.6,28.9,17.616569638708786,20.96964064240852,21.06714149730123,33.34781449069938,3.637502792719572,1.719768797498564,1.6415621406639516,45.370694444444446
2019-01-16,917484.0,932980.0,759163.0,1564429.0,145294.0,73964.0,241976.0,4635290.0,45.370694444444446,39.8,29.9,34.8,92.45,28.9,19.793454131240978,20.127758996740226,16.377896528588288,33.75040180873257,3.134518012896712,1.5956714682360758,5.2202990535651494,45.26608108108108
2019-01-17,925230.0,991754.0,934302.0,1609051.0,186471.0,78923.0,51453.0,4777184.0,45.26608108108108,35.0,25.3,31.2,92.7,28.85,19.367686067775495,20.760221921533688,19.557588738470194,33.68199759523603,3.9033665021066803,1.6520820634080664,1.0770571114698533,52.457655172413794
2019-01-18,867228.0,906791.0,884426.0,1576412.0,178997.0,79770.0,152399.0,4646023.0,52.457655172413794,39.6,31.8,35.4,92.35,28.9,18.666028988664067,19.51757449328167,19.036195042512706,33.930352906130686,3.8526929375941528,1.7169523267534408,3.280203305063277,56.630896551724135
2019-01-19,830811.0,899125.0,833739.0,1574165.0,211477.0,80188.0,72935.0,4502440.0,56.630896551724135,38.0,34.0,36.6,92.35,28.9,18.452461332077718,19.969727525519495,18.517492737271347,34.96248700704507,4.69694210250442,1.7809898632741357,1.6198994323078153,54.6221724137931
